number of clients,skew type,normalization,dataset,seed,stopped_epoch,test_accuracy,test_f1,test_loss,test_precision,test_recall,validation_accuracy,validation_loss
10,feature_0.1,federated_robust_scaling,MNIST,3,60,0.8769,0.876869782,0.394478261,0.877209296,0.8769,0.876333356,0.387144685
10,feature_0.1,federated_min_max,MNIST,2,40,0.9894,0.989398757,0.032638449,0.98941952,0.9894,0.988499999,0.042714629
10,feature_0.1,federated_min_max,MNIST,1,35,0.9908,0.990797031,0.031051639,0.99080568,0.9908,0.986999989,0.047794577
10,feature_0.1,federated_min_max,MNIST,3,36,0.9905,0.990499093,0.028048657,0.990504632,0.9905,0.986999989,0.046231788
10,feature_0.1,federated_z_score,MNIST,2,14,0.9861,0.986100708,0.042244677,0.986122356,0.9861,0.985666692,0.059082545
10,feature_0.1,federated_z_score,MNIST,1,21,0.9884,0.988399784,0.037011296,0.988410956,0.9884,0.984666646,0.052356202
10,feature_0.1,federated_z_score,MNIST,3,27,0.9879,0.987898544,0.043246601,0.987906602,0.9879,0.986666679,0.061337285
10,feature_0.1,local_robust_scaling,MNIST,2,60,0.8713,0.871120252,0.68705678,0.871850825,0.8713,0.86833334,0.643314719
10,feature_0.1,local_robust_scaling,MNIST,1,52,0.8729,0.873512243,0.662208319,0.87586974,0.8729,0.870999992,0.610498726
10,feature_0.1,local_robust_scaling,MNIST,3,60,0.8915,0.89209667,0.63600719,0.893829002,0.8915,0.888499975,0.533989608
10,feature_0.1,instance_norm,MNIST,2,17,0.9875,0.987495267,0.038757566,0.987506504,0.9875,0.987666667,0.050539501
10,feature_0.1,instance_norm,MNIST,1,18,0.9878,0.987798245,0.036742046,0.987804558,0.9878,0.986500025,0.050335351
10,feature_0.1,instance_norm,MNIST,3,19,0.9875,0.987498403,0.040031325,0.987515308,0.9875,0.987666667,0.045710281
10,feature_0.1,group_norm,MNIST,2,20,0.9895,0.98949777,0.032204088,0.989511722,0.9895,0.987999976,0.046011858
10,feature_0.1,group_norm,MNIST,1,16,0.9891,0.989091484,0.034350172,0.989114919,0.9891,0.986833334,0.048468735
10,feature_0.1,group_norm,MNIST,3,24,0.9902,0.990202944,0.032793913,0.990218564,0.9902,0.988666654,0.047783192
10,feature_0.1,layer_norm,MNIST,2,23,0.9887,0.988698542,0.041323982,0.98871886,0.9887,0.987166643,0.044475239
10,feature_0.1,layer_norm,MNIST,1,20,0.9873,0.987298052,0.038860649,0.987311501,0.9873,0.986500025,0.04627886
10,feature_0.1,layer_norm,MNIST,3,19,0.9885,0.988498123,0.03964366,0.988509123,0.9885,0.986333311,0.052600235
10,feature_0.1,batch_norm,MNIST,2,16,0.9904,0.990399899,0.028846765,0.990404654,0.9904,0.987999976,0.04546617
10,feature_0.1,batch_norm,MNIST,1,21,0.9907,0.990696224,0.0319672,0.990706194,0.9907,0.989499986,0.042534687
10,feature_0.1,local_min_max,MNIST,1,6,0.975,0.974984637,0.101788327,0.975049154,0.975,0.971666694,0.12289153
10,feature_0.1,batch_norm,MNIST,3,16,0.9895,0.989497467,0.035767652,0.989509107,0.9895,0.987166643,0.048370112
10,feature_0.1,local_min_max,MNIST,2,16,0.9876,0.987596793,0.139616266,0.987606579,0.9876,0.983833313,0.108236775
10,feature_0.1,local_min_max,MNIST,3,7,0.9751,0.975077296,0.173051,0.975113133,0.9751,0.968999982,0.198797703
10,feature_0.1,local_z_score,MNIST,3,4,0.9676,0.967565025,0.256413311,0.967623373,0.9676,0.966666639,0.151309699
10,feature_0.1,local_z_score,MNIST,2,25,0.987,0.98700083,0.126892939,0.987012442,0.987,0.986333311,0.105071522
10,feature_0.1,local_z_score,MNIST,1,33,0.9872,0.987200064,0.30009374,0.987206583,0.9872,0.986166656,0.071940191
50,quantity_0.7,federated_robust_scaling,MNIST,1,60,0.9486,0.948559978,0.163841978,0.948614489,0.9486,0.950333357,0.158939257
50,quantity_0.7,federated_min_max,MNIST,1,60,0.9877,0.987699338,0.039150618,0.987712116,0.9877,0.986000001,0.054053009
50,quantity_0.7,federated_z_score,MNIST,1,49,0.9873,0.987296292,0.04235018,0.987299705,0.9873,0.986333311,0.051943712
50,quantity_5.0,federated_robust_scaling,MNIST,1,60,0.9321,0.93198792,0.213544995,0.932129096,0.9321,0.934666693,0.208033487
50,quantity_5.0,federated_min_max,MNIST,1,60,0.9852,0.985195612,0.0450859,0.985204327,0.9852,0.981666684,0.062804461
50,quantity_5.0,federated_z_score,MNIST,1,60,0.9861,0.986097185,0.041148271,0.986116931,0.9861,0.984499991,0.058605887
50,label_0.5,federated_robust_scaling,MNIST,1,60,0.8395,0.836675599,0.503176987,0.838496405,0.8395,0.827499986,0.501626372
50,label_0.5,federated_min_max,MNIST,1,60,0.9768,0.976754394,0.079653546,0.97691556,0.9768,0.969833314,0.102314271
50,label_0.5,federated_z_score,MNIST,1,60,0.9754,0.975348371,0.074473791,0.97554376,0.9754,0.973833323,0.087011486
50,label_5.0,federated_robust_scaling,MNIST,1,60,0.9074,0.907121483,0.299935192,0.907739424,0.9074,0.904999971,0.303526759
50,label_5.0,federated_min_max,MNIST,1,60,0.9849,0.984893966,0.047719724,0.984927362,0.9849,0.978666663,0.068654425
50,label_5.0,federated_z_score,MNIST,1,60,0.9833,0.983282135,0.053724535,0.983328748,0.9833,0.98299998,0.0637004
50,quantity_0.7,federated_robust_scaling,MNIST,2,60,0.9543,0.954259352,0.144340679,0.954347038,0.9543,0.953333318,0.153494358
50,quantity_0.7,federated_min_max,MNIST,2,60,0.9891,0.989098401,0.035330012,0.989114106,0.9891,0.987166643,0.052101597
50,quantity_0.7,federated_z_score,MNIST,2,44,0.9875,0.987498807,0.040120017,0.987523296,0.9875,0.98483336,0.057264995
