number of clients,skew type,normalization,dataset,seed,stopped_epoch,test_loss,test_mae,test_r2,validation_loss,validation_r2
20,quantity_5.0,local_yeo_johnson,Parkinson’s,3,84,36.92377471923828,4.653152681060297,0.6726710353778268,32.60218811035156,0.7256848313785629
20,label_0.5,default,Parkinson’s,3,0,184.6707763671875,10.712541915403142,-0.63710459,118.43850708007812,0.003457024
20,label_0.5,federated_robust_scaling,Parkinson’s,3,84,52.05391311645508,5.60874409,0.538542532,46.729095458984375,0.6068209053438001
20,label_0.5,federated_min_max,Parkinson’s,3,84,68.82629395,6.395051424425521,0.3898554714456358,63.42505645751953,0.466340902
20,default,layer_norm,Parkinson’s,2,28,112.3744659423828,7.990179589320814,-0.011305796,122.97539520263672,0.006694337
20,default,batch_norm,Parkinson’s,2,52,73.12488555908203,6.876500451024048,0.3419177683976822,77.60212707519531,0.3731866557805747
20,label_0.5,federated_z_score,Parkinson’s,3,84,44.93209457397461,5.122667635707741,0.6016774500099032,40.820533752441406,0.6565355344171864
20,default,local_min_max,Parkinson’s,2,84,63.35353469848633,6.096562142616526,0.4298544384882005,67.85308074951172,0.4519322984016816
20,label_0.5,local_robust_scaling,Parkinson’s,3,84,66.11380767822266,6.26675388,0.41390156186437144,58.36859893798828,0.5088860122702241
20,default,local_z_score,Parkinson’s,2,84,37.94683074951172,4.632067263156536,0.6585003210848469,36.145973205566406,0.7080391549729305
20,label_0.5,instance_norm,Parkinson’s,3,84,91.22249603271484,7.285760603093165,0.1913132735618984,92.31622314453124,0.2232503117465886
20,label_0.5,group_norm,Parkinson’s,3,19,103.92268371582033,7.776853407,0.078726616,107.93020629882812,0.09187404
20,default,federated_yeo_johnson,Parkinson’s,2,84,42.144737243652344,4.994094351038888,0.6207214049351717,40.826717376708984,0.6702315156214871
20,label_5.0,federated_robust_scaling,Parkinson’s,3,84,51.51923370361328,5.669833857033707,0.5432824479639107,44.12029647827149,0.6287713657340076
20,default,local_yeo_johnson,Parkinson’s,2,84,34.754600524902344,4.503437226721982,0.6872285572467296,35.42784118652344,0.7138397537516724
10,quantity_0.7,default,Parkinson’s,2,13,159.23477172851562,10.014700171736177,-0.433021989,140.83987426757812,-0.137601813
20,default,local_robust_scaling,Parkinson’s,3,84,61.72161483764648,6.2068831979671915,0.4528386188527298,57.57941055297851,0.5155261848107839
10,quantity_5.0,batch_norm,Parkinson’s,3,27,84.43150329589844,7.025211798552295,0.2515154430823193,77.24480438232422,0.3500613118602779
10,quantity_0.7,federated_robust_scaling,Parkinson’s,2,84,28.675661087036133,4.114348976500788,0.7419354288378576,28.50133514404297,0.7697870245836103
20,label_0.5,layer_norm,Parkinson’s,3,27,110.41283416748048,7.979569752709273,0.021191304685451384,113.7832260131836,0.042626634
20,label_0.5,batch_norm,Parkinson’s,3,50,79.09504699707031,7.190581238083055,0.2988231598346901,76.63230133,0.3552148178208645
10,quantity_0.7,instance_norm,Parkinson’s,2,84,83.82228088378906,6.984691889285633,0.24564747456896985,82.12287902832031,0.3366711626852332
10,quantity_5.0,layer_norm,Parkinson’s,2,10,116.45108795166016,8.150925332671521,-0.047992958,116.09461975097656,0.06227232
10,feature_0.3,default,Parkinson’s,2,2,199.3659515380859,11.291182091378476,-0.794179071,160.48963928222656,-0.296318337
20,label_0.5,local_min_max,Parkinson’s,3,84,72.93379974365234,6.846789225667578,0.35344259931612076,67.36078643798828,0.4332255513982094
20,label_0.5,local_z_score,Parkinson’s,3,84,43.71065139770508,4.977072649794608,0.6125055490814623,40.25807189941406,0.6612681740070032
10,quantity_0.7,federated_min_max,Parkinson’s,2,84,40.010860443115234,4.701814675829173,0.6399251176790943,38.34469985961914,0.690279452
10,quantity_0.7,federated_z_score,Parkinson’s,2,23,31.436094284057617,4.4603598922911605,0.7170931101415442,31.92405891418457,0.7421407332412626
