number of clients,skew type,normalization,dataset,seed,stopped_epoch,test_accuracy,test_f1,test_loss,test_precision,test_recall,validation_accuracy,validation_loss
50,feature_0.1,batch_norm,CIFAR10,2,80,0.6954,0.693936179,0.8896793723106384,0.6939768572272259,0.6954,0.7034000158309937,0.881034255
50,feature_0.1,local_min_max,CIFAR10,2,80,0.6244,0.6214933843487219,1.068766951560974,0.6217335289029023,0.6244,0.6230000257492065,1.080975056
50,default,layer_norm,CIFAR10,3,80,0.665,0.6614616667521125,0.967009664,0.661322048,0.665,0.6665999889373779,0.9636070132255554
50,feature_0.1,local_z_score,CIFAR10,2,80,0.6836,0.6818931140065546,0.9171607494354248,0.6819823433541055,0.6836,0.6905999779701233,0.9191516637802124
50,default,federated_robust_scaling,CIFAR10,3,80,0.6832,0.6801408506601757,0.9225459098815918,0.6800121756127211,0.6832,0.6866000294685364,0.9216966032981871
50,default,federated_robust_scaling,CIFAR10,1,80,0.6866,0.6840085714949937,0.9051538109779358,0.6834420887093982,0.6866,0.6891999840736389,0.8971157073974609
50,default,default,CIFAR10,2,80,0.6006,0.5966805754128758,1.158698320388794,0.5956180555153487,0.6006,0.6021999716758728,1.1658997535705566
50,default,federated_min_max,CIFAR10,3,80,0.6084,0.6037584341706899,1.1071827411651611,0.6034410605399574,0.6084,0.621399999,1.1068300008773804
50,default,federated_min_max,CIFAR10,1,80,0.6372,0.6331133321948326,1.0415974855422974,0.6320514175034885,0.6372,0.6412000060081482,1.044539451599121
50,default,federated_z_score,CIFAR10,3,80,0.6945,0.6929085718732039,0.8846674561500549,0.6932385233987097,0.6945,0.7056000232696533,0.8736667037010193
50,default,federated_z_score,CIFAR10,2,80,0.6927,0.6897736630619384,0.8895867466926575,0.6888588679384001,0.6927,0.6948000192642212,0.8891203999519348
50,default,federated_z_score,CIFAR10,1,80,0.6868,0.685411591,0.894949734,0.6854557192851773,0.6868,0.6972000002861023,0.8890116214752197
50,default,instance_norm,CIFAR10,1,80,0.6515,0.6496324303798685,1.0065431594848633,0.6505357673995839,0.6515,0.6646000146865845,1.001285195350647
50,default,group_norm,CIFAR10,1,80,0.6562,0.6526068335976274,1.0004453659057615,0.65298484,0.6562,0.6592000126838684,1.0100260972976685
50,default,layer_norm,CIFAR10,1,80,0.6654,0.6617770382137289,0.9623497128486632,0.6632958346178535,0.6654,0.6700000166893005,0.9629917144775392
50,default,batch_norm,CIFAR10,1,66,0.6802,0.678160323,0.9233037829399108,0.6777437198788855,0.6802,0.6845999956130981,0.9362549781799316
50,default,instance_norm,CIFAR10,3,80,0.656,0.6523897067848875,1.0005066394805908,0.651723299,0.656,0.6614000201225281,1.0024464130401611
50,default,local_min_max,CIFAR10,1,80,0.6318,0.6271334075534447,1.0463883876800537,0.6268036047901874,0.6318,0.6367999911308289,1.0561167001724243
50,default,federated_robust_scaling,CIFAR10,2,80,0.677,0.6750782091426827,0.919719934,0.6753212055625152,0.677,0.6904000043869019,0.9142150282859802
50,default,local_z_score,CIFAR10,1,80,0.6927,0.6909747464342935,0.8873894810676575,0.6901975353323235,0.6927,0.6962000131607056,0.8935299515724182
50,default,group_norm,CIFAR10,3,80,0.6638,0.6608921293950785,0.9982525110244752,0.6606503205976454,0.6638,0.6583999991416931,1.0105210542678833
50,default,federated_min_max,CIFAR10,2,80,0.6152,0.6097977138196902,1.086860418319702,0.6080332558748794,0.6152,0.621399999,1.0944801568984983
50,default,batch_norm,CIFAR10,3,52,0.6479,0.6476475942717341,1.005657434463501,0.6518546088435022,0.6479,0.6549999713897705,0.9922675490379332
50,default,local_min_max,CIFAR10,3,80,0.6261,0.62249881,1.067321777,0.6221885900002169,0.6261,0.6233999729156494,1.076309084892273
50,default,instance_norm,CIFAR10,2,80,0.6524,0.6475855679436313,1.0089406967163086,0.6494278499399998,0.6524,0.6600000262260437,1.0018997192382812
50,default,local_z_score,CIFAR10,3,80,0.6813,0.6782209094536457,0.9259401559829712,0.6770907679797088,0.6813,0.6895999908447266,0.9210038781166076
50,default,group_norm,CIFAR10,2,80,0.663,0.6597001526404279,0.9830862283706664,0.6602424265091986,0.663,0.673799992,0.9818340539932252
50,default,layer_norm,CIFAR10,2,80,0.6746,0.6709941365164784,0.9432506561279296,0.6706105760455342,0.6746,0.6690000295639038,0.9489144682884216
50,default,batch_norm,CIFAR10,2,80,0.7017,0.7012966348534023,0.886767566,0.7021226066344411,0.7017,0.6959999799728394,0.900471568
50,default,local_min_max,CIFAR10,2,80,0.6307,0.6265881379368712,1.0581884384155271,0.6265154797073909,0.6307,0.6320000290870667,1.0649605989456177
